link,1,http://t.co/YHed0qnFq4
at,1,@Newsmax_Media
link,1,http://t.co/3viJLwOCFt
at,1,@CapitalFM_kenya:
link,1,http://t.co/0udyjDLC8x
hashtag,1,#POPE
link,1,http://t.co/vwfsCiN6IG
link,1,http://t.co/cFZ5DL3wS5
hashtag,8,#news
link,1,http://t.co/gQPmJI4Fu9
link,1,http://t.co/13xMw1Xm3o
hashtag,1,#CNN
link,1,http://t.co/LHfQ5lHCK2
hashtag,1,[#WorldNews]
link,1,http://t.co/yDTSxUxOHG
link,1,http://t.co/dInbRQaICc
link,1,http://t.co/LFagmWCtOv
at,2,@newsguy2005
link,2,http://t.co/gRLPxq0lMS
at,2,@sharethis
link,1,http://t.co/H3YB98EyR4
at,1,@RichardGEarl
link,1,http://t.co/EjTbyMb1Hp
hashtag,1,#peaceinourtime
link,5,http://t.co/rGYpBMundM
at,1,@BBCWorld
link,1,http://t.co/crVp0pprmi
link,1,http://t.co/9KYJD0qbHp
hashtag,1,#WorldRSSFeeds
link,1,\n\nWow!\n\nhttp://t.co/e1pBf3sQqM
at,3,@Dm_ruben04
link,6,http://t.co/r7ucNhEgaX
link,6,conflict\nhttp://t.co/QIcPUkhlJK
link,1,http://t.co/Q83qdYXKxw
at,3,@YahooNews
link,4,http://t.co/am7sgrDVRW
at,2,@BeboMundial
link,3,http://t.co/BzmhaQlrlQ
link,1,http://t.co/8rmyprHcRX
link,1,http://t.co/YZWaSK6V9y
hashtag,1,&gt;&gt;#NewsUpdat
link,1,http://t.co/d7NRFvtM9K
link,1,http://t.co/UoTSJTbXDw
at,4,@Pontifex
link,1,http://t.co/FD2vCjNEyg
link,1,http://t.co/tbEawit4LA
hashtag,1,#NBC
link,1,http://t.co/pt9Xf5JuL3
at,1,@nytimesmaybe
link,1,http://t.co/Oz7Z3SedhN
link,1,http://t.co/jo8asTmrS0
link,1,http://t.co/ivFpptlLjj
link,1,http://t.co/bwWWOY2XVY
link,1,http://t.co/FUKZ2PQa6E
at,1,@BreakingNews:
hashtag,5,#Palestine
link,1,http://t.co/9m72XjerhC
at,1,@NBCNews
link,2,http://t.co/FjJ9F4O45k
link,2,http://t.co/Zm3vtJQilx
hashtag,2,#RT
at,2,@FoxNews
hashtag,2,#Israeli,
link,38,Vatican\nhttp://t.co/7fX8V4ElBx
hashtag,2,#peace
link,2,http://t.co/S7YkzMpfQi
at,5,@Reuters
hashtag,1,#NBCnews
link,1,http://t.co/G9OokW6TRM
link,1,http://t.co/3tud2gP0yj
at,1,@TeamLOA
hashtag,1,#stonerdawg!!
link,1,http://t.co/DaCe1r51I7
at,1,@dimkay_
link,1,http://t.co/wK3O4Ycanf
hashtag,1,#Anonymous
hashtag,4,#PopeInPalestine
hashtag,1,#NBCNews
link,1,http://t.co/WOql5TGMxF
link,1,http://t.co/V0W9XkqPup
at,1,.@Pontifex
hashtag,1,#Vatican,to
at,1,@cnalive
link,1,http://t.co/VS4X7IoWwu
at,1,@AP:
hashtag,5,#Palestinian
link,3,http://t.co/DzDr7ovlwf,
hashtag,2,#PopeFrancis
hashtag,1,#Nets
link,3,http://t.co/buTiD55ksi
hashtag,3,#Dm_ruben04
hashtag,1,#NBA
link,4,http://t.co/pQcSQ28aR3
link,1,http://t.co/fUtCMLWOZW
at,1,"@nytimes:
hashtag,1,Vatican\nhttp://t.co/eWof0IOr4e"\n\n#MachiavellianCatastrophe...
hashtag,1,#whatshot
link,4,http://t.co/WLvdH7Wupz
link,1,http://t.co/Vcrq7vOIBX
hashtag,1,#socialmedia
link,3,http://t.co/j2gjKR9m7s
link,1,http://t.co/2VxPig9Tx0
link,1,http://t.co/1xLVALi95g
hashtag,11,#Vatican
link,1,http://t.co/Xwzg9F4lFg
link,1,http://t.co/BNbZq6KCkc
at,1,@toohsuite
link,1,http://t.co/LKfvTg6aSr
link,1,http://t.co/9WEWyPYsLo
link,1,http://t.co/TSa5dL4FUG
link,1,http://t.co/gxPft0XpxW
link,1,http://t.co/74VHDzo2xM
link,1,http://t.co/7np4cJf38c
link,1,http://t.co/pBIaht2v0K
hashtag,12,(#Houston_0998)
link,1,http://t.co/jq63uI0sqq
link,1,http://t.co/A5TaOTPaeZ
hashtag,4,#Israel
at,8,@nytimes
link,1,http://t.co/yyQtjn2c7E
link,1,Vatican\nhttp://t.co/7bYZD8BrQx
link,1,http://t.co/RifEcw7Pqo
link,1,http://t.co/PuotMMuFER
link,1,http://t.co/nBhl7a57iN
link,2,http://t.co/zAddbx722h
link,2,http://t.co/wdUz6AAJ2G
hashtag,2,#TyoNews
link,1,http://t.co/hwFCtiJxBs
hashtag,2,#News
link,1,http://t.co/wxU67vHLzP
link,1,http://t.co/Sm41ge0gk7
link,5,http://t.co/1hp3s36Qh9
link,3,http://t.co/4KeT3SvmI1
link,1,http://t.co/s58R1XnLtu
link,1,http://t.co/BFahC59VYv
link,1,http://t.co/m3GF4wd47X-
link,1,http://t.co/I0eu74s1gV
link,1,http://t.co/ny1q9Oy6L7
link,1,http://t.co/DsjD79NzNW
link,1,http://t.co/yjcOeFquOs
link,1,http://t.co/N0NV3yxx3d
hashtag,6,(#On_Swager_1)
link,1,http://t.co/rstyjDvWfJ
link,1,http://t.co/fzJK896p03
link,1,http://t.co/Ix57HDSQWi
link,1,http://t.co/CnUplDSXKS
link,1,http://t.co/yGHzb7iVzR
link,1,http://t.co/r4luvUpyeB
hashtag,10,#GusttosoTeama
link,2,http://t.co/0vclZnGHNs
hashtag,1,#Olle_Jeffry
hashtag,2,#DIIME_LOCO
link,1,http://t.co/hQQXnaBPVp
link,1,http://t.co/qGsc2B8B7t
link,1,http://t.co/HWIbLDqd7Q
link,1,http://t.co/cvmR7otqxY
hashtag,6,#AnDy_x9
link,1,http://t.co/ULrGGpMWmr
link,1,http://t.co/30dockEcoG
link,1,http://t.co/ReKkKAnV4l
hashtag,6,(#IGUELESY)
at,7,@nytimes:
link,1,http://t.co/EevtVVStHk
hashtag,2,#DmEdiison_21
link,2,http://t.co/wQnbfVyBA1
at,2,@DmEdiison_21
link,1,http://t.co/VMb4Q9aOfI
link,1,http://t.co/FKf4rrTvqM
link,1,http://t.co/DquLRVCLZe
link,1,http://t.co/o99xGKh0sS
link,1,http://t.co/4UeFBbvmd9
link,1,http://t.co/bnAHocm7EW
hashtag,6,(#TeambrianMundial)
link,1,http://t.co/1HL6WR13Pq
link,10,http://t.co/DRqpl9VlpB
hashtag,1,#Queens
hashtag,1,#NY
hashtag,1,#DayCare
hashtag,1,#TU
link,1,http://t.co/4jTJTEvYxK
hashtag,1,#queens
hashtag,1,#ozonepark
link,2,http://t.co/Eiid1sRty8
hashtag,1,#School
hashtag,1,#HowardBeach
link,1,http://t.co/9vxri0NXFW
hashtag,1,#newyork
link,1,http://t.co/BndwSIqQpZ
hashtag,1,#NewYork
link,1,http://t.co/C0yFE69Mq2
link,1,http://t.co/uFxjSDKS7i
link,1,Vatican\nhttp://t.co/WYq9EJO6KQ
link,1,http://t.co/s0yRYVd1wY
link,1,http://t.co/iw0S0otrkE
link,5,http://t.co/Pyoz5ctAnf
link,1,http://t.co/qYjzbdwEzf
link,1,http://t.co/IUiDK2ZUCp
link,1,http://t.co/X23qIWqgpV
link,1,http://t.co/C9BNJopltx
link,1,http://t.co/TKU6GLv5yF
at,5,@AP
hashtag,2,#News:
link,1,http://t.co/WTMNQZijRA
link,1,http://t.co/kfs8j6iidD
hashtag,3,#Israeli
link,5,\nhttp://t.co/GypxeoDbzp
link,1,http://t.co/JR9qOBGCL8
at,1,@INSSIsrael
link,1,http://t.co/aThkPRLYKW
link,1,Vatican\nhttp://t.co/mz3y1BLcrG.
link,2,http://t.co/cRch47mjCo
link,1,http://t.co/LuabJkJaEs
at,1,@AP
link,1,http://t.co/WEbxhFdmvR
link,1,http://t.co/BWCH4MsMpU
link,1,http://t.co/XNFUOBXGWD
link,1,http://t.co/UnJtbFFlMi
link,1,http://t.co/Xc2kkU1s6N
link,2,http://t.co/8B2Lct925e
link,1,http://t.co/FuoLXSk2mD
link,1,http://t.co/0NlkUPDDlx
link,5,http://t.co/yh0S1BrWny
link,1,http://t.co/435XoTGKSY
link,1,http://t.co/3lRGiStnH3
hashtag,1,#slavetrade
link,1,http://t.co/hqdlNCwb1T
hashtag,2,#BreakingNews
link,1,http://t.co/dykkmshYNo
link,1,http://t.co/1mvij1ncBW
hashtag,1,#AP
link,1,http://t.co/lRgNRBoAy8
link,1,http://t.co/4WAMhsDsNA
link,1,http://t.co/Fu0hkQA0pi
link,1,Vatican!!\nhttp://t.co/XI2HRhVhVo
link,3,http://t.co/zI355r5o9M
link,1,http://t.co/ePZLhos27T
link,1,http://t.co/w8oOxPPukA
link,1,http://t.co/2mTJjeVkCu
link,1,http://t.co/WltfgtqEAA
link,1,http://t.co/SbxFj6wm7E
link,1,http://t.co/d0G84czSSJ
link,1,http://t.co/2oV0wymCzq
link,1,http://t.co/KaVsBZ2aa0
link,1,http://t.co/d7UFWk5I6f
link,1,http://t.co/p04G1C8Jdm
link,1,http://t.co/QhRK1rZZJJ
link,1,http://t.co/g9W4GbAG3U
link,1,http://t.co/BLndri2bd9
link,1,http://t.co/1ter9jiFXc
link,1,http://t.co/kTkk63pnmv
link,1,http://t.co/6Si3P3zzT5
hashtag,1,#DmSantana_21
link,1,http://t.co/rMuhxmZbvU
at,1,@DmSantana_21
hashtag,1,#middleeast
link,1,http://t.co/c6aimyLByS
link,1,http://t.co/llE52SxVRI
hashtag,1,#world
hashtag,1,#rt
link,1,http://t.co/gorOIBSrFt
hashtag,1,#headlines
link,1,http://t.co/8iWvtaO5kd
hashtag,4,#Olle_Carly
link,2,http://t.co/JD1MXqJVVo
at,2,@americamag
hashtag,29,#Pope
link,1,http://t.co/grapS4g6Ps
at,1,@willyfelipe1
hashtag,1,#willyfelipe
link,1,http://t.co/xJn6inNjZr
link,1,http://t.co/xCFUAU6qXh
link,2,http://t.co/mTb3rE57Eh
at,1,@blader809
hashtag,1,#blader809
link,1,http://t.co/Li5Pmv1LHU
link,1,month.\nhttp://t.co/YcIrBUa4D2
link,1,http://t.co/fxPEU6fpbl
link,1,http://t.co/8SjH2JGwe9
hashtag,2,#DmArgeniis_x3
link,1,http://t.co/SmvzxFpfjA
link,1,http://t.co/BgcM91Fasq
link,1,http://t.co/PH65vfu44x
link,1,http://t.co/JWUnCqZnth
link,2,http://t.co/6gNeQCj
link,1,http://t.co/1Wl6IBuKL9
link,1,http://t.co/DRNdVrJr8q
link,1,http://t.co/KuIsxCPb8c
link,1,http://t.co/aTMR9GuABj
link,1,http://t.co/Z3gOAto9bj
link,1,http://t.co/rfNjaw65vz
at,1,@RossR5
hashtag,1,#US
hashtag,1,#Albert_Stanlie
link,1,http://t.co/5CQurFtlm0
link,1,http://t.co/DkD5ZrN6QX
at,1,@romereports
link,1,http://t.co/2MSknKkQzy
link,1,http://t.co/zYI5HaMghu
link,1,http://t.co/JkCQJsNdcH
link,2,http://t.co/ARJ5BnHGnQ
link,4,http://t.co/TSsba9t6xg
link,1,http://t.co/sH8Qt0wTYr
hashtag,1,#cdnpoli
hashtag,1,#yyc
hashtag,1,#yeg
hashtag,1,#topoli
hashtag,1,#israel
hashtag,1,#lpc
link,1,http://t.co/xLdNWyXGwN
at,1,@townhallcom
link,2,http://t.co/rr7QdGECTp
link,1,http://t.co/kED9QIdfDT
link,1,http://t.co/ouoGTi696p
link,1,http://t.co/i3vUFelfrH
at,1,@guardian
link,2,http://t.co/oV44YgzjgQ
hashtag,3,~[#OyeGuerrero]
link,1,http://t.co/XCfVn2wdys
link,1,(http://t.co/nKhMTmKUBt)
link,1,http://t.co/dErCya2w2M
link,1,http://t.co/t6XFbcrO43
link,1,Vatican\nhttp://t.co/DZwoTBlHPL
link,1,http://t.co/UUv8AIlT5N
link,1,http://t.co/TgwEBTLIXt
link,1,http://t.co/yHJiG5tGlR
at,1,@officialR5
link,1,http://t.co/kzwzYDzJx0
link,27,http://t.co/33GRPZJqdf
link,1,http://t.co/0Yt7iT0XTL
link,1,http://t.co/XuAzpRCeR1
hashtag,2,(#iUnGalan_)
link,1,http://t.co/IPEs89kXhg
link,1,http://t.co/dljPn3KtA7
link,2,http://t.co/eO4EAS3
link,2,http://t.co/ZsmfbWg88h
at,2,@georgegalloway
hashtag,2,#BreakGazaSiege
link,1,http://t.co/vrOmRBLUWi
at,1,@nytimesy
link,1,http://t.co/5Rp2X3M937
link,2,http://t.co/ZV8FRY0cJv\nAnd
hashtag,1,#popemideast
at,8,(@Team_iUnGalan_)
link,1,http://t.co/rAXPOpuIlU
link,1,http://t.co/2SHYTwTEXj
link,1,http://t.co/y7XasX8S8Z
link,1,http://t.co/xPh8RPwaL5
link,2,Vatican\nhttp://t.co/6aroYY0aiA
link,1,http://t.co/P0lYJFWM4U
link,1,http://t.co/qcV9DnVKck
hashtag,2,#BREAKING
link,4,http://t.co/ZPqLj1fDnO
link,1,http://t.co/etCgUpi0B9
link,1,http://t.co/D9M2EIJxMI
hashtag,1,#Randhy_Freco01:
link,1,http://t.co/3nc77mWhqm
hashtag,1,#Abraham_Lincoln
link,1,http://t.co/WKXW7LrE15
link,1,http://t.co/T4IjxsHY25
link,1,http://t.co/21EyJGnAtq
link,1,http://t.co/wZVhWMaZ3U
hashtag,2,#FlakoBoow:
link,1,http://t.co/Df9lHkHHiI
link,1,http://t.co/GhbFp3TnLH
hashtag,1,[#Cero]
link,1,http://t.co/Bj1v8MwtrL
hashtag,1,[#Pavel_x4]
link,1,http://t.co/iXzvXdXjkr
hashtag,1,#respetoentretodosyparatodos
link,1,http://t.co/sFvzIU2l6m
link,1,http://t.co/sU7jTfQg1a
link,1,Vatican\nhttp://t.co/Lii9m3khvC
link,1,http://t.co/7KKt2LhqsD
link,1,http://t.co/tNINMGiDHl
link,1,http://t.co/ixRcl7zuEk
hashtag,1,#Yugadu
link,1,http://t.co/JN3z4AXl5J
hashtag,6,#zaGahFresh_
link,1,http://t.co/yozvowl0HJ
link,1,http://t.co/x4YFi2MFxN
link,1,http://t.co/Twl3GD6VK0
at,1,@ChamakoSeriOo
link,1,http://t.co/2FRMwynQSg
hashtag,2,#Wagner_Kc
link,1,http://t.co/W7QeKgOBMX
link,1,http://t.co/t8WgjMgYNM
hashtag,1,#MaikyLinares3
link,1,http://t.co/494LiPcJAu
link,1,http://t.co/t36xv6ng1g
link,1,http://t.co/l2kh2Xpdvn
hashtag,1,#AbcNews
link,1,http://t.co/ncvyJRHTEq
link,1,http://t.co/FQlCQK0huc
hashtag,1,#IkybrownUS
link,1,http://t.co/rX55y2TG7g
hashtag,1,#YaysiTeAmo..
link,2,http://t.co/qeQVU5CoQa
link,1,http://t.co/Xn1wpVc5F3
link,1,http://t.co/z1bYXo2l3u
link,1,http://t.co/MLUK8BiOA6
hashtag,11,#ysysz;
at,1,@USATODAY:
link,1,http://t.co/Pknza5aWnG
link,1,http://t.co/AoCj7Mo1hl
link,1,http://t.co/GCvdoNnesX
link,1,http://t.co/jgoGgEX6z9
hashtag,1,#OdavelyMusic
link,1,http://t.co/1igDxZX0q5
link,1,http://t.co/q8UPalL2jq
link,1,http://t.co/Kuo62PeoAc
hashtag,1,#PopeinHolyLand
link,1,http://t.co/wZdydfTvjg
link,1,http://t.co/u9sg8umFZx
link,1,http://t.co/NlpupN47LN
link,1,http://t.co/GTHiGaPB7n
at,2,@guardian:
at,2,@Btselem
link,2,http://t.co/Vp1qQ9Gtcw
link,1,http://t.co/2gNOCTyfTL
link,1,http://t.co/VBqZSvNPPh
link,1,http://t.co/4gmO1tMVo5
link,2,http://t.co/OcX7lzEk0q
link,1,http://t.co/Kt0IyFL5aW
link,1,|http://t.co/LQmhxgufC7|
hashtag,1,#Peace
link,1,http://t.co/oiCwhozjVN
link,1,http://t.co/ine8iPMVkH
hashtag,1,#ecafe
hashtag,1,#episcopal
link,1,http://t.co/ynF9neI2Ad
link,1,http://t.co/2fgYsy1mVZ
link,1,http://t.co/4GmwHS5rrR
link,1,http://t.co/S54cAit5TL
link,1,http://t.co/kzwHVBvNHk
link,1,http://t.co/QPtbgg7iDJ
link,2,http://t.co/KR9xirqYQb
link,1,http://t.co/eEfzp10svG
link,1,http://t.co/pcYgbDKdHM
link,1,http://t.co/HKsJsMEQGI
at,0,@AP)
